Frequency (Hz)	Level (dB)
11541.796875	-117.431213
11584.863281	-116.948189
11627.929688	-116.791962
11670.996094	-116.129112
11714.062500	-117.304153
11757.128906	-117.656288
11800.195313	-118.361961
11843.261719	-117.785416
11886.328125	-117.673149
11929.394531	-117.346504
11972.460938	-117.618095
12015.527344	-117.755165
12058.593750	-117.924561
12101.660156	-117.283340
12144.726563	-116.187164
12187.792969	-116.332710
12230.859375	-117.065819
12273.925781	-117.095726
12316.992188	-116.606651
12360.058594	-116.347427
12403.125000	-116.460213
12446.191406	-116.436813
12489.257813	-116.642532
12532.324219	-117.611450
12575.390625	-117.803291
12618.457031	-116.418114
12661.523438	-116.572479
12704.589844	-117.361794
12747.656250	-116.975243
12790.722656	-116.438133
12833.789063	-117.658966
12876.855469	-118.191681
12919.921875	-117.380722
12962.988281	-115.853981
13006.054688	-116.721550
13049.121094	-116.627205
13092.187500	-116.089294
13135.253906	-116.983391
13178.320313	-118.271637
13221.386719	-117.397858
13264.453125	-116.687706
13307.519531	-117.186974
13350.585938	-117.210213
13393.652344	-117.570168
13436.718750	-117.397255
13479.785156	-117.698326
13522.851563	-117.671928
13565.917969	-117.172592
13608.984375	-116.707741
13652.050781	-117.165703
13695.117188	-116.693428
13738.183594	-116.142975
13781.250000	-116.053619
13824.316406	-116.465660
13867.382813	-117.828644
13910.449219	-118.583572
13953.515625	-118.399055
13996.582031	-117.112213
14039.648438	-117.720802
14082.714844	-116.487473
14125.781250	-117.373589
14168.847656	-118.678581
14211.914063	-118.102180
14254.980469	-117.673790
14298.046875	-117.287598
14341.113281	-117.649330
14384.179688	-117.919037
14427.246094	-117.808716
14470.312500	-117.616043
14513.378906	-117.777428
14556.445313	-118.165443
14599.511719	-117.394798
14642.578125	-116.821121
14685.644531	-116.519920
14728.710938	-117.097725
14771.777344	-117.614777
14814.843750	-117.789513
14857.910156	-117.936859
14900.976563	-117.973602
14944.042969	-117.765251
14987.109375	-118.060303
15030.175781	-117.063347
15073.242188	-117.652916
15116.308594	-117.834633
15159.375000	-118.032875
15202.441406	-117.667458
15245.507813	-117.000816
15288.574219	-117.691017
15331.640625	-117.539642
15374.707031	-118.405319
15417.773438	-117.720825
15460.839844	-116.926857
15503.906250	-117.268181
15546.972656	-117.520729
15590.039063	-117.970322
15633.105469	-118.999359
15676.171875	-118.289932
15719.238281	-118.409653
15762.304688	-119.207527
15805.371094	-120.197807
15848.437500	-120.653877
15891.503906	-120.739037
15934.570313	-121.475327
15977.636719	-121.324539
16020.703125	-120.376160
16063.769531	-119.369408
16106.835938	-119.019119
16149.902344	-120.250641
16192.968750	-121.087379
16236.035156	-121.248161
16279.101563	-121.470406
16322.167969	-120.656151
16365.234375	-120.909058
16408.300781	-120.836380
16451.367188	-120.803406
16494.433594	-121.212448
16537.500000	-120.163605
16580.566406	-120.055817
16623.632813	-120.014069
16666.699219	-120.980774
16709.765625	-121.568321
16752.832031	-121.220001
16795.898438	-120.237968
16838.964844	-120.777885
16882.031250	-121.182686
16925.097656	-121.069969
16968.164063	-121.524117
17011.230469	-119.725349
17054.296875	-119.226547
17097.363281	-119.375618
17140.429688	-120.105888
17183.496094	-121.400368
17226.562500	-120.711006
17269.628906	-119.638115
17312.695313	-120.855881
17355.761719	-120.000488
17398.828125	-119.162117
17441.894531	-119.415512
17484.960938	-121.410522
17528.027344	-121.284637
17571.093750	-122.677795
17614.160156	-122.285294
17657.226563	-121.107956
17700.292969	-120.757050
17743.359375	-120.165031
17786.425781	-120.690117
17829.492188	-120.500816
17872.558594	-120.120255
17915.625000	-120.825150
17958.691406	-121.036644
18001.757813	-120.887589
18044.824219	-122.042473
18087.890625	-121.708923
18130.957031	-121.192482
18174.023438	-120.891899
18217.089844	-121.283493
18260.156250	-121.320992
18303.222656	-121.926483
18346.289063	-122.272316
18389.355469	-122.902222
18432.421875	-122.911392
18475.488281	-122.968025
18518.554688	-123.167801
18561.621094	-123.705589
18604.687500	-122.356148
18647.753906	-122.719749
18690.820313	-123.228355
18733.886719	-123.923569
18776.953125	-122.146828
18820.019531	-122.483536
18863.085938	-123.090263
18906.152344	-122.582672
18949.218750	-123.890839
18992.285156	-123.201126
19035.351563	-123.080002
19078.417969	-123.298897
19121.484375	-123.204468
19164.550781	-123.277191
19207.617188	-122.687836
19250.683594	-122.802330
19293.750000	-124.123199
19336.816406	-123.546631
19379.882813	-123.570557
19422.949219	-125.040291
19466.015625	-125.014641
19509.082031	-124.054382
19552.148438	-125.310272
19595.214844	-125.151505
19638.281250	-125.279152
19681.347656	-124.982018
19724.414063	-125.877899
19767.480469	-126.486794
19810.546875	-126.614777
19853.613281	-126.545906
19896.679688	-127.175606
19939.746094	-126.932373
19982.812500	-127.226212
20025.878906	-127.222961
20068.945313	-127.906349
20112.011719	-128.541397
20155.078125	-129.104965
20198.144531	-128.456482
20241.210938	-127.489220
20284.277344	-128.085907
20327.343750	-129.060364
20370.410156	-130.010361
20413.476563	-130.846344
20456.542969	-130.002884
20499.609375	-129.389618
20542.675781	-128.961105
20585.742188	-130.519211
20628.808594	-131.295715
20671.875000	-131.738190
20714.941406	-131.396011
20758.007813	-131.990829
20801.074219	-133.862274
20844.140625	-133.593643
