Frequency (Hz)	Level (dB)
14125.781250	-116.546722
14168.847656	-115.835846
14211.914063	-116.339760
14254.980469	-118.209381
14298.046875	-117.897789
14341.113281	-115.703056
14384.179688	-115.305885
14427.246094	-115.766945
14470.312500	-115.217903
14513.378906	-116.008896
14556.445313	-116.187408
14599.511719	-115.370377
14642.578125	-116.550125
14685.644531	-115.751160
14728.710938	-114.848068
14771.777344	-115.308098
14814.843750	-116.409218
14857.910156	-116.204239
14900.976563	-115.236618
14944.042969	-115.144951
14987.109375	-116.874474
15030.175781	-115.873680
15073.242188	-115.027748
15116.308594	-115.858253
15159.375000	-116.914543
15202.441406	-116.557655
15245.507813	-115.389931
15288.574219	-114.471062
15331.640625	-115.389297
15374.707031	-117.301338
15417.773438	-116.447960
15460.839844	-114.905128
15503.906250	-115.180763
15546.972656	-116.508270
15590.039063	-116.516251
15633.105469	-116.592056
15676.171875	-116.117775
15719.238281	-117.235390
15762.304688	-118.037491
15805.371094	-117.120407
15848.437500	-116.160095
15891.503906	-117.388817
15934.570313	-117.869820
15977.636719	-118.542717
16020.703125	-118.848457
16063.769531	-118.267548
16106.835938	-118.564156
16149.902344	-118.653503
16192.968750	-118.482513
16236.035156	-118.077538
16279.101563	-116.802605
16322.167969	-116.828804
16365.234375	-117.207268
16408.300781	-116.765694
16451.367188	-116.861328
16494.433594	-117.258743
16537.500000	-118.344437
16580.566406	-118.690689
16623.632813	-118.452469
16666.699219	-117.707497
16709.765625	-118.636391
16752.832031	-118.984573
16795.898438	-118.955124
16838.964844	-118.414116
16882.031250	-116.403175
16925.097656	-117.684593
16968.164063	-117.780975
17011.230469	-116.275841
17054.296875	-115.134506
17097.363281	-116.259003
17140.429688	-118.149742
17183.496094	-117.790398
17226.562500	-116.945824
17269.628906	-117.093185
17312.695313	-116.899216
17355.761719	-116.898323
17398.828125	-117.569847
17441.894531	-116.959183
17484.960938	-116.479095
17528.027344	-117.305550
17571.093750	-117.868896
17614.160156	-116.904198
17657.226563	-115.881134
17700.292969	-118.102036
17743.359375	-118.224503
17786.425781	-117.784164
17829.492188	-117.829071
17872.558594	-117.904716
17915.625000	-117.503014
17958.691406	-118.250854
18001.757813	-119.091187
18044.824219	-118.822266
18087.890625	-118.040054
18130.957031	-117.873779
18174.023438	-118.149231
18217.089844	-118.602425
18260.156250	-118.412613
18303.222656	-118.580536
18346.289063	-118.556366
18389.355469	-117.891869
18432.421875	-118.644272
18475.488281	-118.179100
18518.554688	-117.477943
18561.621094	-117.394447
18604.687500	-117.937355
18647.753906	-118.917374
18690.820313	-118.913139
18733.886719	-119.567032
18776.953125	-120.294167
18820.019531	-118.431328
18863.085938	-117.457970
18906.152344	-117.599007
18949.218750	-117.300644
18992.285156	-118.118874
19035.351563	-118.562408
19078.417969	-119.307594
19121.484375	-118.249443
19164.550781	-118.314995
19207.617188	-118.801605
19250.683594	-119.291634
19293.750000	-119.465714
19336.816406	-119.560532
19379.882813	-118.436913
19422.949219	-118.532845
19466.015625	-118.520096
19509.082031	-118.451027
19552.148438	-119.899673
19595.214844	-121.070618
19638.281250	-120.671234
19681.347656	-119.804070
19724.414063	-118.025940
19767.480469	-118.329056
19810.546875	-120.039009
19853.613281	-119.788895
19896.679688	-119.190155
19939.746094	-121.410011
19982.812500	-122.592293
20025.878906	-120.684952
20068.945313	-120.221237
20112.011719	-120.807724
20155.078125	-121.124596
20198.144531	-121.631203
20241.210938	-121.600945
20284.277344	-120.109222
20327.343750	-118.673035
20370.410156	-118.114220
20413.476563	-119.226715
20456.542969	-121.313995
20499.609375	-120.586525
20542.675781	-119.579979
20585.742188	-121.330620
20628.808594	-120.853172
20671.875000	-121.208611
20714.941406	-121.601288
20758.007813	-120.984970
20801.074219	-122.179039
20844.140625	-122.684006
20887.207031	-122.752182
20930.273438	-123.983170
20973.339844	-125.290115
21016.406250	-125.779243
21059.472656	-125.688576
21102.539063	-128.258789
21145.605469	-130.905014
21188.671875	-131.831467
21231.738281	-133.378418
21274.804688	-135.143341
21317.871094	-137.076767
21360.937500	-140.760178
21404.003906	-144.920090
21447.070313	-146.796249
21490.136719	-149.536850
21533.203125	-154.758469
21576.269531	-159.339081
21619.335938	-164.728424
21662.402344	-169.819031
21705.468750	-175.543884
21748.535156	-168.330444
21791.601563	-160.176147
21834.667969	-167.457397
21877.734375	-180.614899
21920.800781	-181.655365
21963.867188	-179.750122
22006.933594	-181.886444
